minSup,apriori,fp_growth,eclat
0.005,0.37268825599998306,1.5741846299999998,0.05539259300001504
0.006,0.31896646000003787,1.0176368240000375,0.05496062599999277
0.007,0.24846460700002354,0.6982328289999441,0.048914967000036995
0.008,0.20710818400000788,0.46509510399996545,0.04177352399994561
0.009,0.1871202340000127,0.36335067400003934,0.042537190000002736
0.01,0.14259957105387003,0.2626841579936445,0.03326489399652928
0.02,0.05337838898878545,0.10946680399123579,0.02540449598338455
0.03,0.028281276021152733,0.09667432500515133,0.021088599977083504
0.04,0.012843516999855637,0.09011952499859036,0.017991615016944705
0.05,0.008080441039055586,0.08381007899530232,0.015212120981886982
0.06,0.006604601987637579,0.08467456294223666,0.015033423998393119
0.07,0.004992585997097194,0.0878975050104782,0.01542723500635475
0.08,0.004794613011181354,0.08313600798603148,0.014750391002744436
0.09,0.00451014001853764,0.08033215200994163,0.014143662001006306
